M49,Name,Type
4,Afghanistan,Country
8,Albania,Country
12,Algeria,Country
20,Andorra,Country
24,Angola,Country
660,Anguilla,Country
28,Antigua and Barbuda,Country
32,Argentina,Country
51,Armenia,Country
533,Aruba,Country
36,Australia,Country
40,Austria,Country
31,Azerbaijan,Country
44,Bahamas,Country
48,Bahrain,Country
50,Bangladesh,Country
52,Barbados,Country
112,Belarus,Country
56,Belgium,Country
84,Belize,Country
204,Benin,Country
60,Bermuda,Country
64,Bhutan,Country
68,Bolivia,Country
70,Bosnia and Herzegovina,Country
72,Botswana,Country
76,Brazil,Country
96,Brunei Darussalam,Country
100,Bulgaria,Country
854,Burkina Faso,Country
108,Burundi,Country
116,Cambodia,Country
120,Cameroon,Country
124,Canada,Country
132,Cape Verde,Country
136,Cayman Islands,Country
140,Central African Republic,Country
148,Chad,Country
152,Chile,Country
156,China,Country
170,Colombia,Country
174,Comoros,Country
178,Congo (Brazzaville),Country
180,"Congo, (Kinshasa)",Country
184,Cook Islands,Country
188,Costa Rica,Country
384,Côte d'Ivoire,Country
191,Croatia,Country
192,Cuba,Country
196,Cyprus,Country
203,Czech Republic,Country
208,Denmark,Country
262,Djibouti,Country
212,Dominica,Country
214,Dominican Republic,Country
218,Ecuador,Country
818,Egypt,Country
222,El Salvador,Country
226,Equatorial Guinea,Country
232,Eritrea,Country
233,Estonia,Country
231,Ethiopia,Country
242,Fiji,Country
246,Finland,Country
250,France,Country
266,Gabon,Country
270,Gambia,Country
268,Georgia,Country
276,Germany,Country
288,Ghana,Country
300,Greece,Country
308,Grenada,Country
320,Guatemala,Country
324,Guinea,Country
624,Guinea-Bissau,Country
328,Guyana,Country
332,Haiti,Country
340,Honduras,Country
344,"Hong Kong, SAR China",Country
348,Hungary,Country
352,Iceland,Country
356,India,Country
360,Indonesia,Country
364,"Iran, Islamic Republic of",Country
368,Iraq,Country
372,Ireland,Country
833,Isle of Man,Country
376,Israel,Country
380,Italy,Country
388,Jamaica,Country
