Dimension, Value, Description
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Age","ALLAGE","All age ranges or no breaks by age"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Bounds","MP","P"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Name of international institution","ADB","asian development bank"
"Name of international institution","ADB","asian development bank"
"Name of international institution","AFDB","african development bank"
"Name of international institution","AFDB","african development bank"
"Name of international institution","ECOSOC","UN economic and social council"
"Name of international institution","ECOSOC","UN economic and social council"
"Name of international institution","FSB","financial stability board"
"Name of international institution","FSB","financial stability board"
"Name of international institution","IABD","inter-american development bank"
"Name of international institution","IABD","inter-american development bank"
"Name of international institution","IBRD","international bank for reconstruction and development"
"Name of international institution","IBRD","international bank for reconstruction and development"
"Name of international institution","IFC","international finance corporation"
"Name of international institution","IFC","international finance corporation"
