Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Sex,Units,ValueType
12,12.2,12.2.1,EN_MAT_FTPRPG,Korea (North),2003,2.44,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Pakistan,2003,3.6,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Sri Lanka,2003,1.32,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eastern Asia,2003,2,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Uganda,2003,6.52,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eastern and South-Eastern Asia,2003,2.12,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Zambia,2003,4.51,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Zimbabwe,2003,2.08,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Central African Republic,2003,5.64,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Cameroon,2003,1.8,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Angola,2003,1.14,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Somalia,2003,14.53,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Middle Africa,2003,2.43,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,South Africa,2003,1.77,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Peru,2005,3.96,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Colombia,2005,2.1,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ethiopia,2007,0.36,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Finland,2003,1.05,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Estonia,2003,1.96,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Iceland,2003,0.64,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ireland,2003,0.71,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Romania,2003,2.62,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Russian Federation,2003,1.4,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Slovakia,2003,3.35,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ukraine,2003,2.97,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Denmark,2003,0.49,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Northern Europe,2003,0.61,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Uganda,2004,6.38,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Somalia,2004,14.73,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Seychelles,2004,2.38,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Zimbabwe,2004,2.1,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Zambia,2004,4.41,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Seychelles,2002,2.11,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Congo, (Kinshasa)",2002,8.23,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Chad,2002,3.94,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Gabon,2002,0.66,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Sao Tome and Principe,2002,6.65,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Rwanda,2002,7.42,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Mozambique,2002,4.3,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eritrea,2007,4.66,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Mauritius,2002,2.8,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eritrea,2002,3.95,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ethiopia,2002,0.26,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Djibouti,2002,3.76,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Kenya,2002,4.9,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Madagascar,2002,2.36,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Uganda,2002,6.22,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Malawi,2002,3.62,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Djibouti,2007,3.73,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,South Africa,2007,1.64,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Namibia,2007,1.67,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Korea (South),2005,1.21,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,South-eastern Asia,2005,3.07,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Indonesia,2005,2.86,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Brunei Darussalam,2005,0.49,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Cambodia,2005,3.29,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Singapore,2005,2.23,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Mauritius,2003,2.79,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Thailand,2005,3.11,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Venezuela (Bolivarian Republic),2003,1.34,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Argentina,2005,1.87,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Brazil,2005,1.9,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Chile,2005,2.28,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Guyana,2005,56.18,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Paraguay,2005,8.23,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Suriname,2003,3.28,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ecuador,2005,2.55,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Malawi,2003,3.4,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ethiopia,2003,0.31,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Israel,2005,0.88,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Iraq,2005,1.8,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Georgia,2005,3.56,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Kuwait,2005,1.53,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Jordan,2005,3.57,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Lao PDR,2005,5.13,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eritrea,2003,3.89,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Malaysia,2005,2.62,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Philippines,2005,3.07,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Middle Africa,2002,2.4,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Nicaragua,2001,2.99,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Mexico,2001,1.18,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,South America,2001,2.23,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Djibouti,2003,3.78,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Myanmar,2005,4.96,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Sao Tome and Principe,2003,7.49,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Southern Africa,2003,1.86,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Botswana,2003,2.93,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Brunei Darussalam,2001,0.52,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Korea (South),2001,1.37,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Cambodia,2001,3.86,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Dominican Republic,2008,1.1,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Jamaica,2008,2.38,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Cuba,2008,1.66,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Barbados,2008,1.18,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Bahamas,2008,1.15,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Antigua and Barbuda,2008,1.83,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Organisation for Economic Co-operation and Development (OECD) Member States,2009,0.7,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2009,1.33,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Northern Africa (exc. Sudan),2009,2.01,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Colombia,2006,2.13,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ecuador,2006,2.54,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Peru,2006,3.69,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Suriname,2006,3.25,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Venezuela (Bolivarian Republic),2006,1.25,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Angola,2001,1.17,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Poland,2009,1.61,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Moldova,2009,0.48,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Czech Republic,2009,1.53,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Bulgaria,2009,2.4,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Hungary,2009,1.25,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,South-eastern Asia,2001,2.87,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2009,0.7,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eastern Asia (excluding Japan),2009,4.23,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Latin America,2009,1.85,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Malawi,2001,3.63,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Mauritius,2001,2.85,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Rwanda,2001,7.48,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Uruguay,2006,5.8,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Caucasus and Central Asia,2009,4.26,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Philippines,2001,3.24,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Myanmar,2001,4.62,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Malaysia,2001,2.83,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Eastern Asia (excluding Japan),2008,3.86,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Northern Africa (exc. Sudan),2008,1.83,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Central Asia and Southern Asia (SDG),2008,3.76,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Central Asia,2008,4.72,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Uruguay,2008,5.35,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Venezuela (Bolivarian Republic),2008,1.22,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Organisation for Economic Co-operation and Development (OECD) Member States,2008,0.74,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Suriname,2008,3.2,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Ecuador,2008,2.75,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Colombia,2008,2.12,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Hungary,2008,1.3,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Latin America,2008,1.8,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2008,0.74,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Caucasus and Central Asia,2008,4.01,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Peru,2008,3.67,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Cameroon,2001,1.86,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2008,1.37,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Northern America,2008,0.7,Float,All,A,T,C,Total,Kg,P
