Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,[Age],[Bounds],[Freq],[Location],[Sex],[Units]
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1983","16.666667","1983","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1985","18.181818","1985","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1987","24.60733","1987","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1989","26.842105","1989","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1990","18.617021","1990","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1992","24.774775","1992","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1995","27.038627","1995","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","1997","23.641304","1997","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2000","27.437642","2000","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2004","24.375","2004","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2006","27.967807","2006","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2008","32.494759","2008","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2009","29.873418","2009","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2011","28.741093","2011","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHOVEXP","Proportion of fish stocks overexploited","World","2013","31.359649","2013","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FWTL","Proportion of fish stocks within biologically sustainable levels (not overexploited)","World","2000","72.562355","2000","FAO","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FWTL","Proportion of fish stocks within biologically sustainable levels (not overexploited)","World","2006","72.032189","2006","FAO","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FWTL","Proportion of fish stocks within biologically sustainable levels (not overexploited)","World","2009","70.126578","2009","FAO","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FWTL","Proportion of fish stocks within biologically sustainable levels (not overexploited)","World","2013","68.640356","2013","FAO","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1983","30.666667","1983","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1985","31.550802","1985","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1987","31.413613","1987","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1989","30.526316","1989","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1990","31.382979","1990","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1992","29.279279","1992","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1995","29.613734","1995","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","1997","26.630435","1997","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2000","25.396825","2000","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2004","22.916667","2004","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2006","20.523139","2006","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2008","14.675052","2008","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2009","12.658228","2009","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2011","9.976247","2011","","","","","ANNUAL","","","PERCENT"
"14","14.4","14.4.1","ER_H2O_FISHNFEXP","Proportion of fish stocks not fully exploited","World","2013","10.526316","2013","","","","","ANNUAL","","","PERCENT"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","World","2000","2428873.30538023870","2000","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","World","2005","4076907.87176890200","2005","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","World","2010","10508993.75300328800","2010","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","World","2015","16831695.96103327000","2015","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","World","2016","17984721.43146030200","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Albania","2016","304","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Algeria","2016","110","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","American Samoa","2016","35437","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Angola","2016","24","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Antigua and Barbuda","2016","208","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Azerbaijan","2016","345","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","Caspian sea EEZ; The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Argentina","2016","43542","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
"14","14.5","14.5.1","ER_MRN_MARINT","Protected marine area (Economic Exclusion Zones) (square kilometres)","Australia","2016","3021418","2016","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2017, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast.","","","ANNUAL","","","KMSQ"
