Lineage,ParentGeoAreaName,ParentGeoAreaCode,GeoAreaName,GeoAreacode,Type
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Dominican Republic (214)","Caribbean","29","Dominican Republic","214","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Grenada (308)","Caribbean","29","Grenada","308","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Guadeloupe (312)","Caribbean","29","Guadeloupe","312","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Haiti (332)","Caribbean","29","Haiti","332","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Jamaica (388)","Caribbean","29","Jamaica","388","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Martinique (474)","Caribbean","29","Martinique","474","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Montserrat (500)","Caribbean","29","Montserrat","500","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Netherlands Antilles (530)","Caribbean","29","Netherlands Antilles","530","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Puerto Rico (630)","Caribbean","29","Puerto Rico","630","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Saint Kitts and Nevis (659)","Caribbean","29","Saint Kitts and Nevis","659","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Saint Lucia (662)","Caribbean","29","Saint Lucia","662","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Trinidad and Tobago (780)","Caribbean","29","Trinidad and Tobago","780","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Turks and Caicos Islands (796)","Caribbean","29","Turks and Caicos Islands","796","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Bonaire, Sint Eustatius and Saba (535)","Caribbean","29","Bonaire, Sint Eustatius and Saba","535","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Curaçao (531)","Caribbean","29","Curaçao","531","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Saint Barthélemy (652)","Caribbean","29","Saint Barthélemy","652","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Saint Martin (French Part) (663)","Caribbean","29","Saint Martin (French Part)","663","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Saint Vincent and the Grenadines (670)","Caribbean","29","Saint Vincent and the Grenadines","670","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Sint Maarten (Dutch part)	 (534)","Caribbean","29","Sint Maarten (Dutch part)	","534","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- United States Virgin Islands (850)","Caribbean","29","United States Virgin Islands","850","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13)","Latin America and the Caribbean","419","Central America","13","Region"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Belize (84)","Central America","13","Belize","84","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Costa Rica (188)","Central America","13","Costa Rica","188","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- El Salvador (222)","Central America","13","El Salvador","222","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Guatemala (320)","Central America","13","Guatemala","320","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Honduras (340)","Central America","13","Honduras","340","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Mexico (484)","Central America","13","Mexico","484","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Nicaragua (558)","Central America","13","Nicaragua","558","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Central America (13) -- Panama (591)","Central America","13","Panama","591","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5)","Latin America and the Caribbean","419","South America","5","Region"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Argentina (32)","South America","5","Argentina","32","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Bolivia (Plurinational State of) (68)","South America","5","Bolivia (Plurinational State of)","68","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Bouvet Island (74)","South America","5","Bouvet Island","74","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Brazil (76)","South America","5","Brazil","76","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Chile (152)","South America","5","Chile","152","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Colombia (170)","South America","5","Colombia","170","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Ecuador (218)","South America","5","Ecuador","218","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Falkland Islands (Malvinas) (238)","South America","5","Falkland Islands (Malvinas)","238","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- French Guiana (254)","South America","5","French Guiana","254","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Guyana (328)","South America","5","Guyana","328","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Paraguay (600)","South America","5","Paraguay","600","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Peru (604)","South America","5","Peru","604","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- South Georgia and the South Sandwich Islands (239)","South America","5","South Georgia and the South Sandwich Islands","239","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Suriname (740)","South America","5","Suriname","740","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Uruguay (858)","South America","5","Uruguay","858","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- South America (5) -- Venezuela (Bolivarian Republic of) (862)","South America","5","Venezuela (Bolivarian Republic of)","862","Country"
"World (1) -- Americas (19) -- Northern America (21)","Americas","19","Northern America","21","Region"
"World (1) -- Americas (19) -- Northern America (21) -- Bermuda (60)","Northern America","21","Bermuda","60","Country"
"World (1) -- Americas (19) -- Northern America (21) -- Canada (124)","Northern America","21","Canada","124","Country"
"World (1) -- Americas (19) -- Northern America (21) -- Greenland (304)","Northern America","21","Greenland","304","Country"
"World (1) -- Americas (19) -- Northern America (21) -- Saint Pierre and Miquelon (666)","Northern America","21","Saint Pierre and Miquelon","666","Country"
"World (1) -- Americas (19) -- Northern America (21) -- United States of America (840)","Northern America","21","United States of America","840","Country"
"World (1) -- Europe (150)","World","1","Europe","150","Region"
"World (1) -- Europe (150) -- Eastern Europe (151)","Europe","150","Eastern Europe","151","Region"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Belarus (112)","Eastern Europe","151","Belarus","112","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Bulgaria (100)","Eastern Europe","151","Bulgaria","100","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Czechia (203)","Eastern Europe","151","Czechia","203","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Hungary (348)","Eastern Europe","151","Hungary","348","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Republic of Moldova (498)","Eastern Europe","151","Republic of Moldova","498","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Poland (616)","Eastern Europe","151","Poland","616","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Romania (642)","Eastern Europe","151","Romania","642","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Russian Federation (643)","Eastern Europe","151","Russian Federation","643","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Slovakia (703)","Eastern Europe","151","Slovakia","703","Country"
"World (1) -- Europe (150) -- Eastern Europe (151) -- Ukraine (804)","Eastern Europe","151","Ukraine","804","Country"
"World (1) -- Europe (150) -- Northern Europe (154)","Europe","150","Northern Europe","154","Region"
"World (1) -- Europe (150) -- Northern Europe (154) -- Åland Islands (248)","Northern Europe","154","Åland Islands","248","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Denmark (208)","Northern Europe","154","Denmark","208","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Estonia (233)","Northern Europe","154","Estonia","233","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Faroe Islands (234)","Northern Europe","154","Faroe Islands","234","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Finland (246)","Northern Europe","154","Finland","246","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Iceland (352)","Northern Europe","154","Iceland","352","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Ireland (372)","Northern Europe","154","Ireland","372","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Isle of Man (833)","Northern Europe","154","Isle of Man","833","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Latvia (428)","Northern Europe","154","Latvia","428","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Lithuania (440)","Northern Europe","154","Lithuania","440","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Norway (578)","Northern Europe","154","Norway","578","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Svalbard and Jan Mayen Islands (744)","Northern Europe","154","Svalbard and Jan Mayen Islands","744","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Sweden (752)","Northern Europe","154","Sweden","752","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- United Kingdom of Great Britain and Northern Ireland (826)","Northern Europe","154","United Kingdom of Great Britain and Northern Ireland","826","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Channel Islands (830)","Northern Europe","154","Channel Islands","830","Region"
"World (1) -- Europe (150) -- Northern Europe (154) -- Channel Islands (830) -- Guernsey (831)","Channel Islands","830","Guernsey","831","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Channel Islands (830) -- Jersey (832)","Channel Islands","830","Jersey","832","Country"
"World (1) -- Europe (150) -- Northern Europe (154) -- Channel Islands (830) -- Sark (680)","Channel Islands","830","Sark","680","Country"
"World (1) -- Europe (150) -- Southern Europe (39)","Europe","150","Southern Europe","39","Region"
"World (1) -- Europe (150) -- Southern Europe (39) -- Albania (8)","Southern Europe","39","Albania","8","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Andorra (20)","Southern Europe","39","Andorra","20","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Bosnia and Herzegovina (70)","Southern Europe","39","Bosnia and Herzegovina","70","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Croatia (191)","Southern Europe","39","Croatia","191","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Gibraltar (292)","Southern Europe","39","Gibraltar","292","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Greece (300)","Southern Europe","39","Greece","300","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Holy See (336)","Southern Europe","39","Holy See","336","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Italy (380)","Southern Europe","39","Italy","380","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- The former Yugoslav Republic of Macedonia (807)","Southern Europe","39","The former Yugoslav Republic of Macedonia","807","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Malta (470)","Southern Europe","39","Malta","470","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Montenegro (499)","Southern Europe","39","Montenegro","499","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Portugal (620)","Southern Europe","39","Portugal","620","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- San Marino (674)","Southern Europe","39","San Marino","674","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Serbia (688)","Southern Europe","39","Serbia","688","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Slovenia (705)","Southern Europe","39","Slovenia","705","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Spain (724)","Southern Europe","39","Spain","724","Country"
"World (1) -- Europe (150) -- Southern Europe (39) -- Serbia and Montenegro [former] (891)","Southern Europe","39","Serbia and Montenegro [former]","891","Country"
"World (1) -- Europe (150) -- Western Europe (155)","Europe","150","Western Europe","155","Region"
"World (1) -- Europe (150) -- Western Europe (155) -- Austria (40)","Western Europe","155","Austria","40","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Belgium (56)","Western Europe","155","Belgium","56","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- France (250)","Western Europe","155","France","250","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Germany (276)","Western Europe","155","Germany","276","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Liechtenstein (438)","Western Europe","155","Liechtenstein","438","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Luxembourg (442)","Western Europe","155","Luxembourg","442","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Monaco (492)","Western Europe","155","Monaco","492","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Netherlands (528)","Western Europe","155","Netherlands","528","Country"
"World (1) -- Europe (150) -- Western Europe (155) -- Switzerland (756)","Western Europe","155","Switzerland","756","Country"
"World (1) -- Asia (142)","World","1","Asia","142","Region"
"World (1) -- Asia (142) -- Central Asia (143)","Asia","142","Central Asia","143","Region"
"World (1) -- Asia (142) -- Central Asia (143) -- Kazakhstan (398)","Central Asia","143","Kazakhstan","398","Country"
"World (1) -- Asia (142) -- Central Asia (143) -- Kyrgyzstan (417)","Central Asia","143","Kyrgyzstan","417","Country"
"World (1) -- Asia (142) -- Central Asia (143) -- Tajikistan (762)","Central Asia","143","Tajikistan","762","Country"
"World (1) -- Asia (142) -- Central Asia (143) -- Turkmenistan (795)","Central Asia","143","Turkmenistan","795","Country"
"World (1) -- Asia (142) -- Central Asia (143) -- Uzbekistan (860)","Central Asia","143","Uzbekistan","860","Country"
"World (1) -- Asia (142) -- Eastern Asia (30)","Asia","142","Eastern Asia","30","Region"
"World (1) -- Asia (142) -- Eastern Asia (30) -- China (156)","Eastern Asia","30","China","156","Country"
"World (1) -- Asia (142) -- Eastern Asia (30) -- China, Hong Kong Special Administrative Region (344)","Eastern Asia","30","China, Hong Kong Special Administrative Region","344","Country"
"World (1) -- Asia (142) -- Eastern Asia (30) -- China, Macao Special Administrative Region (446)","Eastern Asia","30","China, Macao Special Administrative Region","446","Country"
"World (1) -- Asia (142) -- Eastern Asia (30) -- Japan (392)","Eastern Asia","30","Japan","392","Country"
"World (1) -- Asia (142) -- Eastern Asia (30) -- Democratic People's Republic of Korea (408)","Eastern Asia","30","Democratic People's Republic of Korea","408","Country"
"World (1) -- Asia (142) -- Eastern Asia (30) -- Republic of Korea (410)","Eastern Asia","30","Republic of Korea","410","Country"
"World (1) -- Asia (142) -- Eastern Asia (30) -- Mongolia (496)","Eastern Asia","30","Mongolia","496","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35)","Asia","142","South-Eastern Asia","35","Region"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Brunei Darussalam (96)","South-Eastern Asia","35","Brunei Darussalam","96","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Cambodia (116)","South-Eastern Asia","35","Cambodia","116","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Indonesia (360)","South-Eastern Asia","35","Indonesia","360","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Lao People's Democratic Republic (418)","South-Eastern Asia","35","Lao People's Democratic Republic","418","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Malaysia (458)","South-Eastern Asia","35","Malaysia","458","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Myanmar (104)","South-Eastern Asia","35","Myanmar","104","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Philippines (608)","South-Eastern Asia","35","Philippines","608","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Singapore (702)","South-Eastern Asia","35","Singapore","702","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Thailand (764)","South-Eastern Asia","35","Thailand","764","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Timor-Leste (626)","South-Eastern Asia","35","Timor-Leste","626","Country"
"World (1) -- Asia (142) -- South-Eastern Asia (35) -- Viet Nam (704)","South-Eastern Asia","35","Viet Nam","704","Country"
