Lineage,ParentGeoAreaName,ParentGeoAreaCode,GeoAreaName,GeoAreacode,Type
"World (1)",,,"World","1","Region"
"World (1) -- Antarctica (10)","World","1","Antarctica","10","Country"
"World (1) -- Africa (2)","World","1","Africa","2","Region"
"World (1) -- Africa (2) -- Northern Africa (15)","Africa","2","Northern Africa","15","Region"
"World (1) -- Africa (2) -- Northern Africa (15) -- Algeria (12)","Northern Africa","15","Algeria","12","Country"
"World (1) -- Africa (2) -- Northern Africa (15) -- Egypt (818)","Northern Africa","15","Egypt","818","Country"
"World (1) -- Africa (2) -- Northern Africa (15) -- Libya (434)","Northern Africa","15","Libya","434","Country"
"World (1) -- Africa (2) -- Northern Africa (15) -- Morocco (504)","Northern Africa","15","Morocco","504","Country"
"World (1) -- Africa (2) -- Northern Africa (15) -- Sudan (729)","Northern Africa","15","Sudan","729","Country"
"World (1) -- Africa (2) -- Northern Africa (15) -- Tunisia (788)","Northern Africa","15","Tunisia","788","Country"
"World (1) -- Africa (2) -- Northern Africa (15) -- Western Sahara (732)","Northern Africa","15","Western Sahara","732","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202)","Africa","2","Sub-Saharan Africa","202","Region"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14)","Sub-Saharan Africa","202","Eastern Africa","14","Region"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- British Indian Ocean Territory (86)","Eastern Africa","14","British Indian Ocean Territory","86","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Burundi (108)","Eastern Africa","14","Burundi","108","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Comoros (174)","Eastern Africa","14","Comoros","174","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Djibouti (262)","Eastern Africa","14","Djibouti","262","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Eritrea (232)","Eastern Africa","14","Eritrea","232","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Ethiopia (231)","Eastern Africa","14","Ethiopia","231","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- French Southern Territories (260)","Eastern Africa","14","French Southern Territories","260","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Kenya (404)","Eastern Africa","14","Kenya","404","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Madagascar (450)","Eastern Africa","14","Madagascar","450","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Malawi (454)","Eastern Africa","14","Malawi","454","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Mauritius (480)","Eastern Africa","14","Mauritius","480","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Mayotte (175)","Eastern Africa","14","Mayotte","175","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Mozambique (508)","Eastern Africa","14","Mozambique","508","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Réunion (638)","Eastern Africa","14","Réunion","638","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Rwanda (646)","Eastern Africa","14","Rwanda","646","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Seychelles (690)","Eastern Africa","14","Seychelles","690","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Somalia (706)","Eastern Africa","14","Somalia","706","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- South Sudan (728)","Eastern Africa","14","South Sudan","728","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Uganda (800)","Eastern Africa","14","Uganda","800","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Zambia (894)","Eastern Africa","14","Zambia","894","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Zimbabwe (716)","Eastern Africa","14","Zimbabwe","716","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Eastern Africa (14) -- Sudan [former] (736)","Eastern Africa","14","Sudan [former]","736","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17)","Sub-Saharan Africa","202","Middle Africa","17","Region"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Angola (24)","Middle Africa","17","Angola","24","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Cameroon (120)","Middle Africa","17","Cameroon","120","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Central African Republic (140)","Middle Africa","17","Central African Republic","140","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Chad (148)","Middle Africa","17","Chad","148","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Equatorial Guinea (226)","Middle Africa","17","Equatorial Guinea","226","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Gabon (266)","Middle Africa","17","Gabon","266","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Middle Africa (17) -- Sao Tome and Principe (678)","Middle Africa","17","Sao Tome and Principe","678","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Southern Africa (18)","Sub-Saharan Africa","202","Southern Africa","18","Region"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Southern Africa (18) -- Botswana (72)","Southern Africa","18","Botswana","72","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Southern Africa (18) -- Lesotho (426)","Southern Africa","18","Lesotho","426","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Southern Africa (18) -- Namibia (516)","Southern Africa","18","Namibia","516","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Southern Africa (18) -- South Africa (710)","Southern Africa","18","South Africa","710","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Southern Africa (18) -- Eswatini (748)","Southern Africa","18","Eswatini","748","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11)","Sub-Saharan Africa","202","Western Africa","11","Region"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Benin (204)","Western Africa","11","Benin","204","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Burkina Faso (854)","Western Africa","11","Burkina Faso","854","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Cabo Verde (132)","Western Africa","11","Cabo Verde","132","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Congo (178)","Western Africa","11","Congo","178","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Côte d'Ivoire (384)","Western Africa","11","Côte d'Ivoire","384","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Gambia (270)","Western Africa","11","Gambia","270","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Ghana (288)","Western Africa","11","Ghana","288","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Guinea (324)","Western Africa","11","Guinea","324","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Guinea-Bissau (624)","Western Africa","11","Guinea-Bissau","624","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Liberia (430)","Western Africa","11","Liberia","430","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Mali (466)","Western Africa","11","Mali","466","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Mauritania (478)","Western Africa","11","Mauritania","478","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Niger (562)","Western Africa","11","Niger","562","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Nigeria (566)","Western Africa","11","Nigeria","566","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Saint Helena (654)","Western Africa","11","Saint Helena","654","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Senegal (686)","Western Africa","11","Senegal","686","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Sierra Leone (694)","Western Africa","11","Sierra Leone","694","Country"
"World (1) -- Africa (2) -- Sub-Saharan Africa (202) -- Western Africa (11) -- Togo (768)","Western Africa","11","Togo","768","Country"
"World (1) -- Americas (19)","World","1","Americas","19","Region"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419)","Americas","19","Latin America and the Caribbean","419","Region"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29)","Latin America and the Caribbean","419","Caribbean","29","Region"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Anguilla (660)","Caribbean","29","Anguilla","660","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Antigua and Barbuda (28)","Caribbean","29","Antigua and Barbuda","28","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Aruba (533)","Caribbean","29","Aruba","533","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Bahamas (44)","Caribbean","29","Bahamas","44","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Barbados (52)","Caribbean","29","Barbados","52","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- British Virgin Islands (92)","Caribbean","29","British Virgin Islands","92","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Cayman Islands (136)","Caribbean","29","Cayman Islands","136","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Cuba (192)","Caribbean","29","Cuba","192","Country"
"World (1) -- Americas (19) -- Latin America and the Caribbean (419) -- Caribbean (29) -- Dominica (212)","Caribbean","29","Dominica","212","Country"
